Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Brahmins' Thatte Idli,South Indian,100,5703,"vijay nagar, bangalore"
Wokanaka - The Casual Chinese Pitstop,Chinese,450,0,"whitefield, bangalore"
Adda - The Restaurant,North Indian,225,1976,"bommanahalli, bangalore"
Dilli Chowk,North Indian,350,470,"jp nagar, bangalore"
Polar Bear,Ice Cream,175,3801,"bannerghatta road, bangalore"
Polar Bear,Ice Cream,150,3801,"bannerghatta road, bangalore"
Bramishree Nandi Grand,North Indian,175,599,"vijay nagar, bangalore"
CakeWalk,Bakery,350,120,"indiranagar, bangalore"
Indian Paratha Company,North Indian,200,15,"hennur, bangalore"
Indian Paratha Company,North Indian,250,15,"hennur, bangalore"
Robin Brown Ice Creams,Ice Cream,175,715,"rajajinagar, bangalore"
Vera Italiano,Italian,600,1118,"kalyan nagar, bangalore"
Vaigai Vilas,Chinese,225,425,"btm, bangalore"
Pizza Hut,Pizza,300,1013,"jp nagar, bangalore"
Pizza Hut,Pizza,200,1013,"jp nagar, bangalore"
Platform.65,North Indian,550,40,"bannerghatta road, bangalore"
Earthen Delicacies,North Indian,350,1496,"jakkur, bangalore"
Anjappar,South Indian,400,1298,"brigade road, bangalore"
Anjappar,South Indian,200,1298,"brigade road, bangalore"
